study_id,config_id,environment,condition_id,seed,run_attempt,run_status,status,num_eval_points,final_success,best_success,best_step,last3_mean,normalized_eval_auc,total_trainable_params,total_dense_macs,actor_depth,value_depth,critic_depth,run_dir
M16A,M16A-3x3-B000,puzzle-3x3-play-v0,B000,0,0,completed,complete,10,0.8099999999999999,0.8100000000000002,700000,0.7866666666666666,0.6622222222222223,2347016,2331648,4,4,4,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-3x3-B000__3x3_flat/puzzle-3x3-play-v0/seed_000
M16A,M16A-3x3-S001,puzzle-3x3-play-v0,S001,0,0,completed,complete,10,0.8,0.8,1000000,0.5966666666666667,0.3794444444444444,833324,3535104,7,7,7,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-3x3-S001__3x3_mixer_l1/puzzle-3x3-play-v0/seed_000
M16A,M16A-3x3-S002,puzzle-3x3-play-v0,S002,0,0,completed,complete,10,0.97,0.99,500000,0.9700000000000001,0.8766666666666667,1101904,6484224,11,11,11,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-3x3-S002__3x3_mixer_l2/puzzle-3x3-play-v0/seed_000
M16A,M16A-3x3-S004,puzzle-3x3-play-v0,S004,0,0,completed,complete,10,0.99,1.0,500000,0.9566666666666667,0.9183333333333333,1639064,12382464,19,19,19,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-3x3-S004__3x3_mixer_l4/puzzle-3x3-play-v0/seed_000
M16A,M16A-4x4-B000,puzzle-4x4-play-v0,B000,0,0,completed,complete,10,0.19,0.2,200000,0.14333333333333334,0.13944444444444445,2461704,2446336,4,4,4,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x4-B000__4x4_flat/puzzle-4x4-play-v0/seed_000
M16A,M16A-4x4-S001,puzzle-4x4-play-v0,S001,0,0,completed,complete,10,0.13,0.27,500000,0.13333333333333333,0.1438888888888889,840520,5857536,7,7,7,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x4-S001__4x4_mixer_l1/puzzle-4x4-play-v0/seed_000
M16A,M16A-4x4-S002,puzzle-4x4-play-v0,S002,0,0,completed,complete,10,0.7100000000000001,0.79,700000,0.7433333333333333,0.47,1112712,11100416,11,11,11,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x4-S002__4x4_mixer_l2/puzzle-4x4-play-v0/seed_000
M16A,M16A-4x4-S004,puzzle-4x4-play-v0,S004,0,0,completed,complete,10,0.72,0.7799999999999999,600000,0.6699999999999999,0.5894444444444444,1657096,21586176,19,19,19,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x4-S004__4x4_mixer_l4/puzzle-4x4-play-v0/seed_000
M16A,M16A-4x5-B000,puzzle-4x5-play-v0,B000,0,0,completed,complete,10,0.2,0.2,400000,0.20000000000000004,0.19055555555555556,2527240,2511872,4,4,4,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x5-B000__4x5_flat/puzzle-4x5-play-v0/seed_000
M16A,M16A-4x5-S001,puzzle-4x5-play-v0,S001,0,0,completed,complete,10,0.18,0.18,1000000,0.12,0.06555555555555556,844632,7184640,7,7,7,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x5-S001__4x5_mixer_l1/puzzle-4x5-play-v0/seed_000
M16A,M16A-4x5-S002,puzzle-4x5-play-v0,S002,0,0,completed,complete,10,0.2,0.2,500000,0.19333333333333336,0.16944444444444445,1118888,13738240,11,11,11,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x5-S002__4x5_mixer_l2/puzzle-4x5-play-v0/seed_000
M16A,M16A-4x5-S004,puzzle-4x5-play-v0,S004,0,0,completed,complete,10,0.19,0.2,600000,0.19333333333333336,0.1711111111111111,1667400,26845440,19,19,19,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x5-S004__4x5_mixer_l4/puzzle-4x5-play-v0/seed_000
M16A,M16A-4x6-B000,puzzle-4x6-play-v0,B000,0,0,completed,complete,10,0.24,0.24,1000000,0.21333333333333335,0.15222222222222223,2592776,2577408,4,4,4,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x6-B000__4x6_flat/puzzle-4x6-play-v0/seed_000
M16A,M16A-4x6-S001,puzzle-4x6-play-v0,S001,0,0,completed,complete,10,0.06,0.06,1000000,0.02333333333333333,0.006666666666666667,848744,8511744,7,7,7,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x6-S001__4x6_mixer_l1/puzzle-4x6-play-v0/seed_000
M16A,M16A-4x6-S002,puzzle-4x6-play-v0,S002,0,0,completed,complete,10,0.13999999999999999,0.2,700000,0.14666666666666664,0.11444444444444445,1125064,16376064,11,11,11,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x6-S002__4x6_mixer_l2/puzzle-4x6-play-v0/seed_000
M16A,M16A-4x6-S004,puzzle-4x6-play-v0,S004,0,0,completed,complete,10,0.19,0.19,600000,0.18333333333333335,0.1461111111111111,1677704,32104704,19,19,19,/data/qijunrong/06-RL/offline-rl/exp/RLC/runs/M16A/M16A-4x6-S004__4x6_mixer_l4/puzzle-4x6-play-v0/seed_000
