study_id,config_id,algorithm,environment,seed,status,best_success,best_step,last3_mean,normalized_auc,auc_status
M22,M22-CRL-P3X3,crl,puzzle-3x3-play-v0,0,missing,,,,,not_available
M22,M22-CRL-P3X3,crl,puzzle-3x3-play-v0,1,missing,,,,,not_available
M22,M22-CRL-P3X3,crl,puzzle-3x3-play-v0,2,missing,,,,,not_available
M22,M22-CRL-P4X4,crl,puzzle-4x4-play-v0,0,missing,,,,,not_available
M22,M22-CRL-P4X4,crl,puzzle-4x4-play-v0,1,missing,,,,,not_available
M22,M22-CRL-P4X4,crl,puzzle-4x4-play-v0,2,missing,,,,,not_available
M22,M22-CRL-P4X5,crl,puzzle-4x5-play-v0,0,missing,,,,,not_available
M22,M22-CRL-P4X5,crl,puzzle-4x5-play-v0,1,missing,,,,,not_available
M22,M22-CRL-P4X5,crl,puzzle-4x5-play-v0,2,missing,,,,,not_available
M22,M22-CRL-P4X6,crl,puzzle-4x6-play-v0,0,missing,,,,,not_available
M22,M22-CRL-P4X6,crl,puzzle-4x6-play-v0,1,missing,,,,,not_available
M22,M22-CRL-P4X6,crl,puzzle-4x6-play-v0,2,missing,,,,,not_available
M22,M22-GCBC-P3X3,gcbc,puzzle-3x3-play-v0,0,missing,,,,,not_available
M22,M22-GCBC-P3X3,gcbc,puzzle-3x3-play-v0,1,missing,,,,,not_available
M22,M22-GCBC-P3X3,gcbc,puzzle-3x3-play-v0,2,missing,,,,,not_available
M22,M22-GCBC-P4X4,gcbc,puzzle-4x4-play-v0,0,missing,,,,,not_available
M22,M22-GCBC-P4X4,gcbc,puzzle-4x4-play-v0,1,missing,,,,,not_available
M22,M22-GCBC-P4X4,gcbc,puzzle-4x4-play-v0,2,missing,,,,,not_available
M22,M22-GCBC-P4X5,gcbc,puzzle-4x5-play-v0,0,missing,,,,,not_available
M22,M22-GCBC-P4X5,gcbc,puzzle-4x5-play-v0,1,missing,,,,,not_available
M22,M22-GCBC-P4X5,gcbc,puzzle-4x5-play-v0,2,missing,,,,,not_available
M22,M22-GCBC-P4X6,gcbc,puzzle-4x6-play-v0,0,missing,,,,,not_available
M22,M22-GCBC-P4X6,gcbc,puzzle-4x6-play-v0,1,missing,,,,,not_available
M22,M22-GCBC-P4X6,gcbc,puzzle-4x6-play-v0,2,missing,,,,,not_available
M22,M22-GCIQL-P3X3,gciql,puzzle-3x3-play-v0,0,missing,,,,,not_available
M22,M22-GCIQL-P3X3,gciql,puzzle-3x3-play-v0,1,missing,,,,,not_available
M22,M22-GCIQL-P3X3,gciql,puzzle-3x3-play-v0,2,missing,,,,,not_available
M22,M22-GCIQL-P4X4,gciql,puzzle-4x4-play-v0,0,missing,,,,,not_available
M22,M22-GCIQL-P4X4,gciql,puzzle-4x4-play-v0,1,missing,,,,,not_available
M22,M22-GCIQL-P4X4,gciql,puzzle-4x4-play-v0,2,missing,,,,,not_available
M22,M22-GCIQL-P4X5,gciql,puzzle-4x5-play-v0,0,missing,,,,,not_available
M22,M22-GCIQL-P4X5,gciql,puzzle-4x5-play-v0,1,missing,,,,,not_available
M22,M22-GCIQL-P4X5,gciql,puzzle-4x5-play-v0,2,missing,,,,,not_available
M22,M22-GCIQL-P4X6,gciql,puzzle-4x6-play-v0,0,missing,,,,,not_available
M22,M22-GCIQL-P4X6,gciql,puzzle-4x6-play-v0,1,missing,,,,,not_available
M22,M22-GCIQL-P4X6,gciql,puzzle-4x6-play-v0,2,missing,,,,,not_available
M22,M22-GCIVL-P3X3,gcivl,puzzle-3x3-play-v0,0,missing,,,,,not_available
M22,M22-GCIVL-P3X3,gcivl,puzzle-3x3-play-v0,1,missing,,,,,not_available
