study_id,config_id,slug,algorithm,placement,topology,block,iterations,residual,schedule,credit,state_dim,h_cycles,l_cycles,h_update_executions,l_update_executions,total_update_executions,trainable_params,core_trainable_params,buffer_elements,environment,seed,git_commit,status,run_dir,final_success,best_success,best_step
M9A,M9A-C001,hiql_vanilla,hiql,baseline,feedforward,mlp,,,,,,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C001__hiql_vanilla/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C001,hiql_vanilla,hiql,baseline,feedforward,mlp,,,,,,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C001__hiql_vanilla/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C002,crl_vanilla,crl,baseline,feedforward,mlp,,,,,,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C002__crl_vanilla/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C002,crl_vanilla,crl,baseline,feedforward,mlp,,,,,,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C002__crl_vanilla/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C003,crl_actor_k1_nores,crl,actor,single_state,mlp,1,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C003__crl_actor_k1_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C003,crl_actor_k1_nores,crl,actor,single_state,mlp,1,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C003__crl_actor_k1_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C004,crl_actor_k1_res,crl,actor,single_state,mlp,1,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C004__crl_actor_k1_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C004,crl_actor_k1_res,crl,actor,single_state,mlp,1,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C004__crl_actor_k1_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C005,crl_actor_k2_nores,crl,actor,single_state,mlp,2,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C005__crl_actor_k2_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C005,crl_actor_k2_nores,crl,actor,single_state,mlp,2,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C005__crl_actor_k2_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C006,crl_actor_k2_res,crl,actor,single_state,mlp,2,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C006__crl_actor_k2_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C006,crl_actor_k2_res,crl,actor,single_state,mlp,2,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C006__crl_actor_k2_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C007,crl_actor_k4_nores,crl,actor,single_state,mlp,4,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C007__crl_actor_k4_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C007,crl_actor_k4_nores,crl,actor,single_state,mlp,4,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C007__crl_actor_k4_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C008,crl_actor_k4_res,crl,actor,single_state,mlp,4,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C008__crl_actor_k4_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C008,crl_actor_k4_res,crl,actor,single_state,mlp,4,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C008__crl_actor_k4_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C009,hiql_high_k1_nores,hiql,high_actor,single_state,mlp,1,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C009__hiql_high_k1_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C009,hiql_high_k1_nores,hiql,high_actor,single_state,mlp,1,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C009__hiql_high_k1_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C010,hiql_high_k1_res,hiql,high_actor,single_state,mlp,1,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C010__hiql_high_k1_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C010,hiql_high_k1_res,hiql,high_actor,single_state,mlp,1,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C010__hiql_high_k1_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C011,hiql_high_k2_nores,hiql,high_actor,single_state,mlp,2,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C011__hiql_high_k2_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C011,hiql_high_k2_nores,hiql,high_actor,single_state,mlp,2,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C011__hiql_high_k2_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C012,hiql_high_k2_res,hiql,high_actor,single_state,mlp,2,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C012__hiql_high_k2_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C012,hiql_high_k2_res,hiql,high_actor,single_state,mlp,2,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C012__hiql_high_k2_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C013,hiql_high_k4_nores,hiql,high_actor,single_state,mlp,4,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C013__hiql_high_k4_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C013,hiql_high_k4_nores,hiql,high_actor,single_state,mlp,4,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C013__hiql_high_k4_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C014,hiql_high_k4_res,hiql,high_actor,single_state,mlp,4,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C014__hiql_high_k4_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C014,hiql_high_k4_res,hiql,high_actor,single_state,mlp,4,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C014__hiql_high_k4_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C015,hiql_low_k1_nores,hiql,low_actor,single_state,mlp,1,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C015__hiql_low_k1_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C015,hiql_low_k1_nores,hiql,low_actor,single_state,mlp,1,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C015__hiql_low_k1_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C016,hiql_low_k1_res,hiql,low_actor,single_state,mlp,1,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C016__hiql_low_k1_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C016,hiql_low_k1_res,hiql,low_actor,single_state,mlp,1,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C016__hiql_low_k1_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C017,hiql_low_k2_nores,hiql,low_actor,single_state,mlp,2,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C017__hiql_low_k2_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C017,hiql_low_k2_nores,hiql,low_actor,single_state,mlp,2,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C017__hiql_low_k2_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C018,hiql_low_k2_res,hiql,low_actor,single_state,mlp,2,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C018__hiql_low_k2_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C018,hiql_low_k2_res,hiql,low_actor,single_state,mlp,2,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C018__hiql_low_k2_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C019,hiql_low_k4_nores,hiql,low_actor,single_state,mlp,4,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C019__hiql_low_k4_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C019,hiql_low_k4_nores,hiql,low_actor,single_state,mlp,4,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C019__hiql_low_k4_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C020,hiql_low_k4_res,hiql,low_actor,single_state,mlp,4,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C020__hiql_low_k4_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C020,hiql_low_k4_res,hiql,low_actor,single_state,mlp,4,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C020__hiql_low_k4_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C021,hiql_high_low_k1_nores,hiql,high_actor+low_actor,single_state,mlp,1,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C021__hiql_high_low_k1_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C021,hiql_high_low_k1_nores,hiql,high_actor+low_actor,single_state,mlp,1,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C021__hiql_high_low_k1_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C022,hiql_high_low_k1_res,hiql,high_actor+low_actor,single_state,mlp,1,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C022__hiql_high_low_k1_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C022,hiql_high_low_k1_res,hiql,high_actor+low_actor,single_state,mlp,1,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C022__hiql_high_low_k1_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C023,hiql_high_low_k2_nores,hiql,high_actor+low_actor,single_state,mlp,2,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C023__hiql_high_low_k2_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C023,hiql_high_low_k2_nores,hiql,high_actor+low_actor,single_state,mlp,2,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C023__hiql_high_low_k2_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C024,hiql_high_low_k2_res,hiql,high_actor+low_actor,single_state,mlp,2,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C024__hiql_high_low_k2_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C024,hiql_high_low_k2_res,hiql,high_actor+low_actor,single_state,mlp,2,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C024__hiql_high_low_k2_res/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C025,hiql_high_low_k4_nores,hiql,high_actor+low_actor,single_state,mlp,4,False,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C025__hiql_high_low_k4_nores/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C025,hiql_high_low_k4_nores,hiql,high_actor+low_actor,single_state,mlp,4,False,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C025__hiql_high_low_k4_nores/antmaze-medium-navigate-v0/seed_000,,,
M9A,M9A-C026,hiql_high_low_k4_res,hiql,high_actor+low_actor,single_state,mlp,4,True,,,512,,,,,,,,,antmaze-large-navigate-v0,0,,planned,runs/M9A/M9A-C026__hiql_high_low_k4_res/antmaze-large-navigate-v0/seed_000,,,
M9A,M9A-C026,hiql_high_low_k4_res,hiql,high_actor+low_actor,single_state,mlp,4,True,,,512,,,,,,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9A/M9A-C026__hiql_high_low_k4_res/antmaze-medium-navigate-v0/seed_000,,,
