study_id,config_id,slug,algorithm,placement,topology,block,iterations,residual,schedule,credit,state_dim,h_cycles,l_cycles,h_update_executions,l_update_executions,total_update_executions,trainable_params,core_trainable_params,buffer_elements,environment,seed,git_commit,status,run_dir,final_success,best_success,best_step
M9B,M9B-C001,crl_actor_h2l1_full_bptt,crl,actor,two_state,mlp,,,H2L1,full_bptt,512,2,1,2,2,4,,,,antmaze-large-navigate-v0,0,,planned,runs/M9B/M9B-C001__crl_actor_h2l1_full_bptt/antmaze-large-navigate-v0/seed_000,,,
M9B,M9B-C001,crl_actor_h2l1_full_bptt,crl,actor,two_state,mlp,,,H2L1,full_bptt,512,2,1,2,2,4,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9B/M9B-C001__crl_actor_h2l1_full_bptt/antmaze-medium-navigate-v0/seed_000,,,
M9B,M9B-C002,crl_actor_h2l1_one_step,crl,actor,two_state,mlp,,,H2L1,one_step,512,2,1,2,2,4,,,,antmaze-large-navigate-v0,0,,planned,runs/M9B/M9B-C002__crl_actor_h2l1_one_step/antmaze-large-navigate-v0/seed_000,,,
M9B,M9B-C002,crl_actor_h2l1_one_step,crl,actor,two_state,mlp,,,H2L1,one_step,512,2,1,2,2,4,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9B/M9B-C002__crl_actor_h2l1_one_step/antmaze-medium-navigate-v0/seed_000,,,
M9B,M9B-C003,crl_actor_h2l6_full_bptt,crl,actor,two_state,mlp,,,H2L6,full_bptt,512,2,6,2,12,14,,,,antmaze-large-navigate-v0,0,,planned,runs/M9B/M9B-C003__crl_actor_h2l6_full_bptt/antmaze-large-navigate-v0/seed_000,,,
M9B,M9B-C003,crl_actor_h2l6_full_bptt,crl,actor,two_state,mlp,,,H2L6,full_bptt,512,2,6,2,12,14,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9B/M9B-C003__crl_actor_h2l6_full_bptt/antmaze-medium-navigate-v0/seed_000,,,
M9B,M9B-C004,crl_actor_h2l6_one_step,crl,actor,two_state,mlp,,,H2L6,one_step,512,2,6,2,12,14,,,,antmaze-large-navigate-v0,0,,planned,runs/M9B/M9B-C004__crl_actor_h2l6_one_step/antmaze-large-navigate-v0/seed_000,,,
M9B,M9B-C004,crl_actor_h2l6_one_step,crl,actor,two_state,mlp,,,H2L6,one_step,512,2,6,2,12,14,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9B/M9B-C004__crl_actor_h2l6_one_step/antmaze-medium-navigate-v0/seed_000,,,
M9B,M9B-C005,hiql_high_h2l1_full_bptt,hiql,high_actor,two_state,mlp,,,H2L1,full_bptt,512,2,1,2,2,4,,,,antmaze-large-navigate-v0,0,,planned,runs/M9B/M9B-C005__hiql_high_h2l1_full_bptt/antmaze-large-navigate-v0/seed_000,,,
M9B,M9B-C005,hiql_high_h2l1_full_bptt,hiql,high_actor,two_state,mlp,,,H2L1,full_bptt,512,2,1,2,2,4,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9B/M9B-C005__hiql_high_h2l1_full_bptt/antmaze-medium-navigate-v0/seed_000,,,
M9B,M9B-C006,hiql_high_h2l1_one_step,hiql,high_actor,two_state,mlp,,,H2L1,one_step,512,2,1,2,2,4,,,,antmaze-large-navigate-v0,0,,planned,runs/M9B/M9B-C006__hiql_high_h2l1_one_step/antmaze-large-navigate-v0/seed_000,,,
M9B,M9B-C006,hiql_high_h2l1_one_step,hiql,high_actor,two_state,mlp,,,H2L1,one_step,512,2,1,2,2,4,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9B/M9B-C006__hiql_high_h2l1_one_step/antmaze-medium-navigate-v0/seed_000,,,
M9B,M9B-C007,hiql_high_h2l6_full_bptt,hiql,high_actor,two_state,mlp,,,H2L6,full_bptt,512,2,6,2,12,14,,,,antmaze-large-navigate-v0,0,,planned,runs/M9B/M9B-C007__hiql_high_h2l6_full_bptt/antmaze-large-navigate-v0/seed_000,,,
M9B,M9B-C007,hiql_high_h2l6_full_bptt,hiql,high_actor,two_state,mlp,,,H2L6,full_bptt,512,2,6,2,12,14,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9B/M9B-C007__hiql_high_h2l6_full_bptt/antmaze-medium-navigate-v0/seed_000,,,
M9B,M9B-C008,hiql_high_h2l6_one_step,hiql,high_actor,two_state,mlp,,,H2L6,one_step,512,2,6,2,12,14,,,,antmaze-large-navigate-v0,0,,planned,runs/M9B/M9B-C008__hiql_high_h2l6_one_step/antmaze-large-navigate-v0/seed_000,,,
M9B,M9B-C008,hiql_high_h2l6_one_step,hiql,high_actor,two_state,mlp,,,H2L6,one_step,512,2,6,2,12,14,,,,antmaze-medium-navigate-v0,0,,planned,runs/M9B/M9B-C008__hiql_high_h2l6_one_step/antmaze-medium-navigate-v0/seed_000,,,
